Architecture,VRAM (GB),Optimizer
Dense,0.065176576,LION
Dense,0.072695808,LION
Dense,0.07138816,LION
Dense,0.073912832,LION
Dense,0.07070592,LION
Dense,0.072198144,LION
Dense,0.073317888,LION
Dense,0.071393024,LION
Dense,0.07083136,LION
Dense,0.0726336,LION
Dense,0.07247232,LION
Dense,0.073221376,LION
Dense,0.072987904,LION
Dense,0.073709312,LION
Dense,0.073988096,LION
Dense,0.075099136,LION
Dense,0.075141376,LION
Dense,0.073787648,LION
Dense,0.073327616,LION
Dense,0.07382016,LION
Dense,0.07396864,LION
Dense,0.07403264,LION
Dense,0.072833536,LION
MoE,1.35427968,ADAMW
MoE,1.365401344,ADAMW
MoE,1.368676096,ADAMW
MoE,1.369550848,ADAMW
MoE,1.376781568,ADAMW
MoE,1.375726848,ADAMW
MoE,1.375329536,ADAMW
MoE,1.37691648,ADAMW
MoE,1.380333312,ADAMW
MoE,1.398678528,ADAMW
MoE,1.412543744,ADAMW
MoE,1.412903168,ADAMW
Dense,0.29981568,LION
Dense,0.3117888,LION
Dense,0.316511744,LION
Dense,0.323072256,LION
Dense,0.323278848,LION
Dense,0.325953536,LION
Dense,0.331785216,LION
Dense,0.326874624,LION
Dense,0.332854528,LION
Dense,0.335817984,LION
Dense,0.337987328,LION
Dense,0.334588416,LION
MoE,0.130491904,ADAFACTOR
MoE,0.14272256,ADAFACTOR
MoE,0.143997952,ADAFACTOR
MoE,0.147159552,ADAFACTOR
MoE,0.149037056,ADAFACTOR
MoE,0.14825984,ADAFACTOR
MoE,0.151096064,ADAFACTOR
MoE,0.153904896,ADAFACTOR
MoE,0.158335232,ADAFACTOR
MoE,0.158546944,ADAFACTOR
MoE,0.157944064,ADAFACTOR
MoE,0.160225792,ADAFACTOR
MoE,0.160342528,ADAFACTOR
MoE,0.161355008,ADAFACTOR
MoE,0.162036224,ADAFACTOR
MoE,0.16646272,ADAFACTOR
MoE,0.166887168,ADAFACTOR
MoE,0.170341888,ADAFACTOR
MoE,0.168732416,ADAFACTOR
MoE,0.165657856,ADAFACTOR
MoE,0.16409472,ADAFACTOR
MoE,0.162415616,ADAFACTOR
MoE,0.164419328,ADAFACTOR
